 EMP ID,Role,ProjectCompletionRate,YearsOfExprience,Salary
10001,Data analyst,5,0,84055
10002,Data scientist,4,1,49138
10003,Business analyst,3,0,90662
10004,Data engineer,2,4,61153
10005,Data Scientist,8,3,50407
10006,Business Intelligence Analyst,2,5,42474
10007,Data Engineer,8,4,55988
10008,Quantitative Analyst (Quant),10,5,46824
10009,Machine Learning Engineer,7,5,41018
10010,Marketing Analyst,2,5,63534
10011,Operations Analyst,3,4,64680
10012,Financial Analyst,1,5,75663
10013,Healthcare Data Analyst,10,4,70224
10014,Data Scientist,3,5,91571
10015,Business Intelligence Analyst,9,2,74971
10016,Data Engineer,10,4,49429
10017,Quantitative Analyst (Quant),9,2,41408
10018,Machine Learning Engineer,8,2,77314
10019,Marketing Analyst,8,1,61430
10020,Operations Analyst,1,4,69295
10021,Financial Analyst,1,0,47849
10022,Healthcare Data Analyst,4,1,57700
10023,Data Scientist,3,5,63934
10024,Business Intelligence Analyst,10,0,68326
10025,Data Engineer,6,2,46244
10026,Quantitative Analyst (Quant),3,5,64103
10027,Machine Learning Engineer,9,5,49553
10028,Marketing Analyst,9,4,66827
10029,Operations Analyst,5,0,49041
10030,Financial Analyst,7,5,90459
10031,Healthcare Data Analyst,8,4,60977
10032,Software Engineer,8,2,74379
10033,Systems Analyst,2,2,91301
10034,Cybersecurity Analyst,1,1,42566
10035,Network Engineer,10,0,81431
10036,Cloud Solutions Architect,4,1,91908
10037,DevOps Engineer,6,4,96264
10038,UX/UI Designer,4,1,75427
10039,Database Administrator (DBA),8,5,57618
10040,IT Project Manager,5,1,90429
10041,AI/ML Specialist,2,3,87869
10042,Software Engineer,4,2,51436
10043,Systems Analyst,7,4,44886
10044,Cybersecurity Analyst,2,4,59886
10045,Network Engineer,5,3,71867
10046,Cloud Solutions Architect,10,3,50077
10047,DevOps Engineer,9,5,82968
10048,UX/UI Designer,4,0,40019
10049,Database Administrator (DBA),2,2,44082
10050,IT Project Manager,9,2,50939
10051,AI/ML Specialist,1,3,90044
10052,Software Engineer,4,5,49547
10053,Systems Analyst,2,3,74155
10054,Cybersecurity Analyst,2,2,89120
10055,Network Engineer,1,3,47583
10056,Cloud Solutions Architect,5,3,79312
10057,DevOps Engineer,10,0,64207
10058,UX/UI Designer,3,5,80266
10059,Database Administrator (DBA),1,5,50746
10060,IT Project Manager,7,4,74775
10061,AI/ML Specialist,5,2,53660
10062,Data Analyst,1,2,51797
10063,Data Scientist,4,2,97352
10064,Business Intelligence Analyst,3,3,90587
10065,Data Engineer,9,3,96461
10066,Quantitative Analyst (Quant),1,4,82837
10067,Machine Learning Engineer,10,0,87930
10068,Marketing Analyst,8,4,99118
10069,Operations Analyst,8,1,98743
10070,Financial Analyst,2,4,48841
10071,Healthcare Data Analyst,6,0,43383
10072,Software Engineer,10,3,60265
10073,Systems Analyst,10,3,55816
10074,Cybersecurity Analyst,6,0,74711
